Item Inventory #,Purchase_Date,seller,Brand + Product Name,Brand,Product_Name,product description, Quality , Purchase Price , List Price , Sell price , Gross Amount Earned , Net Profit/Loss ,Percent Profit,Date Sold,Days Held
244,4/17/2025,goldenboutique,Black MCM Crossbody,,,Very Good Condition,, $ 98.24 ,, $ 168.75 , $ 75.94 , $ 92.81 ,55%,6/1/2025,  45.00 
245,4/17/2025,house_of_luxury,Chanel Red Silk Scarf with jewels,,,Very Good Condition,, $ 124.15 ,,,, $ -   ,0%,,  110.00 
246,4/18/2025,japanluxlifestyle,Chanel cloth tote,,,NWT,, $ 116.30 ,,,, $ -   ,0%,,  109.00 
247,4/18/2025,japanluxlifestyle,Chanel mesh tote,,,NWT,, $ 149.50 ,,,, $ -   ,0%,,  109.00 
248,4/18/2025,goldenboutique,Project Louis Vuitton Neverfull,,,Fair Condition,, $ 500.00 ,, $ 769.00 , $ 682.71 , $ 86.29 ,11%,6/27/2025,  70.00 
249,4/19/2025,Starluxeboutique,Gucci Box,,,,, $ 17.92 ,,,, $ -   ,0%,,  108.00 
250,4/19/2025,houstonselects,Louis Vuitton Damier Ebene Columbine Tote,,,Fair Condition - Needs to go to cobbler,, $ 246.34 ,,,, $ -   ,0%,,  108.00 
251,4/19/2025,houstonselects,Louis Vuitton Monogram Speedy 30,,,Good Condition,, $ 210.41 ,,,, $ -   ,0%,,  108.00 
252,4/19/2025,houstonselects,Louis Vuitton Monogram Bag,,,Fair Condition - Needs to go to cobbler,, $ 152.69 ,,,, $ -   ,0%,,  108.00 
253,4/19/2025,houstonselects,Louis Vuitton Keepall 45,,,Good Condition,, $ 346.53 ,,,, $ -   ,0%,,  108.00 
254,4/19/2025,houstonselects,Louis Vuitton Taiga Briefcase,,,Great Condition,, $ 118.93 ,, $ 188.00 , $ 84.60 , $ 103.40 ,55%,6/1/2025,  43.00 
255,4/19/2025,theluxurycloset,Louis Vuitton Mini Lin Sarah Wallet,,,Great condition,, $ 114.12 ,, $ 67.00 , $ 61.94 , $ 5.06 ,8%,7/4/2025,  76.00 
256,4/19/2025,theluxurycloset,Louis Vuitton Monogram Salsa Crossbody,,,Great Condition,, $ 549.30 ,,,, $ -   ,0%,,  108.00 
257,4/20/2025,theluxurycloset,Louis Vuitton Monogram Koala Wallet,,,Great Condition,, $ 234.77 ,,,, $ -   ,0%,,  107.00 
259,4/20/2025,designerbrandbag,Gucci Pink Key Cles with Heart ,,,Very Good Condition - Repainted,, $ 65.65 ,, $ 115.50 , $ 102.02 , $ 13.48 ,12%,7/21/2025,  92.00 
260,4/20/2025,designerbrandbag,Louis Vuitton Accessory Pouchette ,,,Great condition,, $ 247.87 , $ 499.00 ,,, $ -   ,0%,,  107.00 
261,4/20/2025,designerbrandbag,Louis Vuitton Accessory Pouchette - Large,,,Excellent Condition,, $ 307.43 ,, $ 410.00 , $ 363.58 , $ 46.42 ,11%,5/16/2025,  26.00 
262,4/20/2025,jonesy_branded_luxury,Celine shoulder bag,,,Great Condition,, $ 189.72 ,, $ 340.71 , $ 296.42 , $ 44.29 ,13%,5/3/2025,  13.00 
263,4/3/2025,goldenboutique,MCM Black Boston,,,Excellent Condition,, $ 93.88 ,, $ 160.00 , $ 140.69 , $ 19.31 ,12%,,  124.00 
